Date,Thermal Generation Estimated (in MU),Thermal Generation Actual (in MU)
2019-02-01,2858.26,3085.11
2019-02-02,2865.67,3085.11
2019-02-03,2775.44,3085.09
2019-02-04,2853.57,3085.09
2019-02-05,2967.35,3085.09
2019-02-06,2954.87,3088.35
2019-02-07,2825.0,3090.85
2019-02-08,2905.79,3092.02
2019-02-09,2899.9500000000003,3082.89
2019-02-10,2824.68,3070.78
2019-02-11,2850.15,3080.73
2019-02-12,2884.87,3080.73
2019-02-13,2934.46,3083.42
2019-02-14,2938.29,3092.16
2019-02-15,2896.65,3092.16
2019-02-16,2863.59,3092.16
2019-02-17,2826.2000000000003,3094.08
2019-02-18,2886.6600000000003,3087.64
2019-02-19,2981.94,3103.24
2019-02-20,2977.46,3100.0
2019-02-21,2961.4,3117.79
2019-02-22,2948.1099999999997,3116.93
2019-02-23,2936.48,3116.93
2019-02-24,2864.7400000000002,3122.73
2019-02-25,2931.29,3122.73
2019-02-26,2934.64,3133.0600000000004
2019-02-27,2928.89,3133.0600000000004
2019-02-28,2967.15,3140.4100000000003
2019-03-01,3013.4300000000003,3133.27
2019-03-02,2934.14,3133.27
2019-03-03,2843.17,3133.27
2019-03-04,2926.14,3134.13
2019-03-05,2987.75,3134.13
2019-03-06,3020.0499999999997,3136.2799999999997
2019-03-07,3069.73,3133.8
2019-03-08,3046.21,3134.66
2019-03-09,3034.67,3134.66
2019-03-10,3024.04,3134.66
2019-03-11,3098.7799999999997,3143.37
2019-03-12,3145.81,3155.27
2019-03-13,3136.98,3154.6
2019-03-14,3104.18,3143.4500000000003
2019-03-15,3033.16,3139.58
2019-03-16,3025.87,3141.48
2019-03-17,2963.01,3141.48
2019-03-18,3075.27,3146.69
2019-03-19,3131.21,3156.23
2019-03-20,3091.6299999999997,3130.3900000000003
2019-03-21,2781.36,3129.4300000000003
2019-03-22,2914.8399999999997,3121.33
2019-03-23,3046.49,3123.6800000000003
2019-03-24,3036.7,3123.6800000000003
2019-03-25,3118.24,3123.6800000000003
2019-03-26,3118.2999999999997,3132.6800000000003
2019-03-27,3181.7499999999995,3132.6800000000003
2019-03-28,3204.67,3140.9100000000003
2019-03-29,3240.7000000000003,3140.9100000000003
2019-03-30,3236.48,3140.9100000000003
2019-03-31,3011.53,3140.9100000000003
2019-04-01,3088.16,3315.58
2019-04-02,3220.42,3311.58
2019-04-03,3275.1400000000003,3308.94
2019-04-04,3321.57,3308.94
2019-04-05,3248.59,3301.2599999999998
2019-04-06,3158.65,3290.2999999999997
2019-04-07,2924.2999999999997,3290.2999999999997
2019-04-08,3078.65,3290.2999999999997
2019-04-09,3132.35,3290.3399999999997
2019-04-10,3212.67,3286.4399999999996
2019-04-11,3247.7999999999997,3301.23
2019-04-12,3258.3,3301.23
2019-04-13,3240.96,3302.45
2019-04-14,3134.66,3302.49
2019-04-15,3189.75,3298.64
2019-04-16,2990.0,3294.64
2019-04-17,2826.33,3294.64
2019-04-18,2895.4,3291.99
2019-04-19,2969.59,3291.99
2019-04-20,3031.2000000000003,3287.89
2019-04-21,2946.5499999999997,3300.59
2019-04-22,3080.83,3299.4900000000002
2019-04-23,3115.5499999999997,3299.4900000000002
2019-04-24,3211.37,3299.69
2019-04-25,3321.73,3304.69
2019-04-26,3339.83,3298.4500000000003
2019-04-27,3303.7,3301.23
2019-04-28,3187.4900000000002,3298.42
2019-04-29,3288.15,3298.42
2019-04-30,3176.38,3293.98
2019-05-01,2965.36,3318.2400000000002
2019-05-02,2968.0299999999997,3317.4400000000005
2019-05-03,2881.46,3320.28
2019-05-04,2920.98,3329.56
2019-05-05,2978.9900000000002,3329.56
2019-05-06,3129.0899999999997,3350.6800000000003
2019-05-07,3128.3,3350.6800000000003
2019-05-08,3126.6000000000004,3356.26
2019-05-09,3183.14,3356.26
2019-05-10,3247.7499999999995,3359.08
2019-05-11,3223.96,3356.4300000000003
2019-05-12,3136.73,3356.4300000000003
2019-05-13,3154.39,3356.4300000000003
2019-05-14,3086.7799999999997,3346.7400000000002
2019-05-15,3174.89,3346.7400000000002
2019-05-16,3241.11,3359.3700000000003
2019-05-17,3186.3,3346.1200000000003
2019-05-18,3103.46,3342.3
2019-05-19,3096.0600000000004,3342.3
2019-05-20,3272.09,3342.3
2019-05-21,3349.27,3338.7400000000002
2019-05-22,3356.2200000000003,3339.54
2019-05-23,3328.26,3339.54
2019-05-24,3204.37,3339.1600000000003
2019-05-25,3202.36,3335.8300000000004
2019-05-26,3096.6099999999997,3328.79
2019-05-27,3293.9,3331.44
2019-05-28,3377.2599999999998,3335.69
2019-05-29,3425.3500000000004,3335.69
2019-05-30,3428.21,3334.14
2019-05-31,3393.98,3338.52
2019-06-01,3338.06,3198.84
2019-06-02,3161.41,3204.0
2019-06-03,3068.8100000000004,3204.0
2019-06-04,3183.0499999999997,3204.0
2019-06-05,3342.08,3201.52
2019-06-06,3283.2999999999997,3185.3199999999997
2019-06-07,3233.09,3185.3199999999997
2019-06-08,3266.1000000000004,3185.3199999999997
2019-06-09,3205.39,3188.5
2019-06-10,3274.93,3176.9900000000002
2019-06-11,3289.21,3172.59
2019-06-12,3135.39,3172.2400000000002
2019-06-13,3021.07,3172.2400000000002
2019-06-14,3222.62,3172.2400000000002
2019-06-15,3081.61,3110.1499999999996
2019-06-16,2881.25,3111.0499999999997
2019-06-17,2930.42,3112.7599999999998
2019-06-18,2939.03,3113.0099999999998
2019-06-19,3039.79,3122.53
2019-06-20,3112.0000000000005,3114.1
2019-06-21,3204.84,3117.42
2019-06-22,3193.1200000000003,3124.37
2019-06-23,3059.81,3124.37
2019-06-24,3166.97,3119.07
2019-06-25,3230.06,3095.86
2019-06-26,3203.61,3104.33
2019-06-27,3105.18,3107.08
2019-06-28,3044.45,3107.91
2019-06-29,3056.75,3108.2599999999998
2019-06-30,2915.05,3108.2599999999998
2019-07-01,3011.77,2828.7400000000002
2019-07-02,3020.5099999999998,2827.31
2019-07-03,2997.1,2827.31
2019-07-04,2952.8900000000003,2827.31
2019-07-05,2861.71,2841.85
2019-07-06,2735.21,2853.24
2019-07-07,2580.5,2853.24
2019-07-08,2706.62,2850.68
2019-07-09,2665.64,2847.2000000000003
2019-07-10,2673.23,2836.4900000000002
2019-07-11,2642.63,2840.65
2019-07-12,2795.5,2831.56
2019-07-13,2805.77,2831.0299999999997
2019-07-14,2646.12,2831.0299999999997
2019-07-15,2706.6,2793.47
2019-07-16,2726.42,2822.3599999999997
2019-07-17,2881.23,2822.42
2019-07-18,2983.52,2828.85
2019-07-19,3085.25,2828.85
2019-07-20,3047.9,2793.75
2019-07-21,2941.4700000000003,2821.51
2019-07-22,3080.01,2843.47
2019-07-23,3188.26,2840.47
2019-07-24,3080.49,2842.0099999999998
2019-07-25,2833.2599999999998,2803.2
2019-07-26,2704.02,2819.56
2019-07-27,2583.06,2819.56
2019-07-28,2443.44,2822.21
2019-07-29,2585.41,2822.21
2019-07-30,2693.87,2845.21
2019-07-31,2704.16,2872.21
2019-08-01,2679.87,2824.8399999999997
2019-08-02,2625.98,2824.8399999999997
2019-08-03,2581.79,2828.64
2019-08-04,2512.0899999999997,2824.59
2019-08-05,2610.16,2839.52
2019-08-06,2532.99,2852.1099999999997
2019-08-07,2443.65,2866.63
2019-08-08,2516.82,2855.65
2019-08-09,2459.4,2892.08
2019-08-10,2402.28,2881.57
2019-08-11,2474.23,2908.69
2019-08-12,2677.21,2905.87
2019-08-13,2639.7400000000002,2896.21
2019-08-14,2564.19,2915.47
2019-08-15,2264.87,2920.9700000000003
2019-08-16,2371.4500000000003,2888.31
2019-08-17,2377.05,2884.31
2019-08-18,2365.18,2892.79
2019-08-19,2562.7799999999997,2894.62
2019-08-20,2632.79,2911.45
2019-08-21,2624.29,2907.2799999999997
2019-08-22,2657.6800000000003,2917.61
2019-08-23,2683.69,2928.9500000000003
2019-08-24,2575.1,2934.56
2019-08-25,2550.2000000000003,2939.2999999999997
2019-08-26,2653.98,2961.95
2019-08-27,2774.34,2961.85
2019-08-28,2892.98,2969.52
2019-08-29,2948.81,2962.41
2019-08-30,2931.52,2956.1
2019-08-31,2904.21,2993.1
2019-09-01,2670.1,3044.16
2019-09-02,2669.75,3044.16
2019-09-03,2726.77,3030.92
2019-09-04,2702.11,3030.92
2019-09-05,2657.85,3043.38
2019-09-06,2638.0,3056.42
2019-09-07,2602.75,3052.8
2019-09-08,2485.16,3053.28
2019-09-09,2615.8900000000003,3060.66
2019-09-10,2739.17,3061.71
2019-09-11,2771.11,3060.55
